macrostate,P_up,P_down,term_1,term_2
162,0.0024039750297,0.0048370363136,-1.3035989719404668e-17,2.0672486755785046e-38
163,0.002459077912,0.0033205801819999998,-1.3096683436248989e-17,2.0023694966467117e-38
164,0.0023496032926,0.0045951787033,-1.3201212162382798e-17,2.270123521972531e-38
165,0.0024585802743,0.0041872953774,-1.3233625154830669e-17,1.9342074936899917e-38
166,0.002449675721,0.0041483919067,-1.3315778585169269e-17,2.011363899504263e-38
167,0.0022787099248000003,0.003660274824,-1.3417068844703032e-17,2.0769254353093067e-38
168,0.0024117914051,0.0036332389808000002,-1.3452392525716863e-17,2.0615009020143631e-38
169,0.0024630727838000003,0.0040149878017,-1.3453496187801081e-17,2.4967237541884476e-38
170,0.0023899189906,0.004706467675,-1.3615234636355825e-17,2.2722850749584684e-38
171,0.0022349167668000002,0.0037065951108999997,-1.3675505379711612e-17,2.51937723388782e-38
172,0.0023443804623,0.0039262232913,-1.3789419527321908e-17,2.719215141219222e-38
173,0.0022653444594,0.0037712797997,-1.3798999822618842e-17,2.088918860801297e-38
174,0.0022171795841999997,0.0041843009408,-1.3883177659733688e-17,2.085471970812381e-38
175,0.0021731347603000002,0.0044470163281,-1.4075302499049214e-17,2.8304129348502797e-38
176,0.0026825571756999996,0.0047372089685,-1.38779166685158e-17,2.601577443902227e-38
177,0.0024303904408000004,0.0036349456023,-1.4073423560941604e-17,2.625561001903239e-38
178,0.0022040833903,0.0041988324315,-1.4258984159343037e-17,2.1712102877080391e-38
179,0.0021665208325999997,0.0035719028086,-1.4228517837180735e-17,2.283639354961829e-38
180,0.0024140783108000004,0.0045205000275,-1.427368725045043e-17,2.5708001751578365e-38
181,0.0024211833799,0.0038460263745,-1.4328507812741124e-17,2.1160861792237123e-38
182,0.002218961544,0.0034080647568000004,-1.444456232123995e-17,2.466475804204033e-38
183,0.0022166959844,0.0040394723829000004,-1.461102476531455e-17,3.148444079066174e-38
184,0.0023925645901,0.0035720303875999997,-1.4473881464160028e-17,2.570853466224545e-38
185,0.0022543238123,0.0038520367158,-1.4687525246706846e-17,2.0658300192756889e-38
186,0.0021781071707,0.0036618405438000007,-1.470401661599119e-17,2.6283512697360536e-38
187,0.0022558731577,0.0048357371338,-1.483406254031859e-17,2.4429772310129213e-38
188,0.0022068144809,0.0030513885715,-1.4863805569791962e-17,2.3028367767664598e-38
189,0.0022389652645,0.003506917992,-1.4931269063253522e-17,2.6998076246683505e-38
190,0.0020678643962000003,0.0034867786786999997,-1.518444713214666e-17,2.7836983544788983e-38
191,0.0021999497804000004,0.0034746114804,-1.506301193350477e-17,2.178433807608968e-38
192,0.0020228594382000003,0.003974238991,-1.520460084658775e-17,2.427765756786932e-38
193,0.0021557856725,0.0035098059808999996,-1.524541958127469e-17,2.722811867250932e-38
194,0.0021811201072,0.0038286111894,-1.5313059533988673e-17,2.1393894699103712e-38
195,0.0021068373306,0.0036294189815000003,-1.535708172782408e-17,2.1568372840274802e-38
196,0.0021879152056,0.0030305165875,-1.5354590835897395e-17,2.2631514928906074e-38
197,0.0023161283681,0.0033033179821999998,-1.540256059581218e-17,2.6685882511378647e-38
198,0.0022824040823,0.0035112113034,-1.553218316622904e-17,2.2788154726907318e-38
199,0.0021146963573,0.0038174611861,-1.5657627937178323e-17,2.385693189334291e-38
200,0.0020254743964,0.0034579129174,-1.5783049298381527e-17,2.3377584292915704e-38
201,0.0021890572067,0.0032579378387,-1.573672227966334e-17,3.2561592293122607e-38
202,0.0021545055598,0.0036792750948,-1.5847834437274344e-17,3.200768007357084e-38
203,0.0021816899828000003,0.0044552722498,-1.591128365159345e-17,2.5252975254762726e-38
204,0.0023364598108000004,0.0033144900306999996,-1.5894830796833353e-17,2.6423851308398343e-38
205,0.0022485986695,0.0031502532704,-1.597815420323124e-17,2.9643323362390074e-38
